id,slug,name,brand,model,trim
0143284b-712a-4b79-8b6f-65960c14a7d7,bmw-m3-e46,"M3 E46","BMW","E46 M3","Standard"
243e8415-2418-472f-aad8-3d513ed3755e,bmw-m3-e92,"M3 E92","BMW","E92 M3","Standard"
4da0a42f-90d1-40f3-ac5f-7da14437b9bd,bmw-m3-f80,"M3 F80","BMW","F80 M3","Standard"
f233826c-9e5d-48d3-a8c1-74cf2e5e3bfe,bmw-m3-g80,"M3 G80","BMW","G80 M3","Standard"
ae53844f-897e-4318-96ca-11566f8f09c2,bmw-m340i-g20,"M340i G20","BMW","G20 3 Series","M340i"
6d1cbeba-bf82-4209-aa98-e8b55396ce07,bmw-m4-csl-g82,"M4 CSL","BMW","M4","CSL"
e40e492b-d312-47db-a513-7a537db2c624,bmw-m4-f82,"M4 F82","BMW","F82 M4","Standard"
bc864470-65ce-434a-8baf-4c929c552d57,bmw-m5-e39,"M5 E39","BMW","E39 M5","Standard"
b50c0be8-45ce-4f6b-aaa2-4943e080acca,bmw-m5-e60,"M5 E60","BMW","E60 M5","Standard"
e6d25eef-9f50-4330-9356-a53cff4e7612,bmw-m5-f10-competition,"M5 F10 Competition","BMW","F10 M5","Competition"
7ecb9923-659d-42e0-80ad-e3f69355e052,bmw-m5-f90-competition,"M5 F90 Competition","BMW","F90 M5","Competition"
c497677c-0fff-405b-a138-a01c728bf83c,bmw-z4m-e85-e86,"Z4 M Coupe/Roadster","BMW","E85/E86 Z4 M","Standard"
298d1d40-a2bf-4293-8a11-ea0708351879,buick-grand-national-g-body,"Grand National","Buick","Grand National","Standard"
559def72-c41c-45f9-8169-6e8c8524747b,cadillac-ats-v-first-generation,"ATS-V","Cadillac","ATS","V"
3377c815-4ab6-4971-93e2-7ad8e196c904,cadillac-ct4-v-blackwing,"CT4-V Blackwing","Cadillac","CT4","V Blackwing"
05c1b6bf-6444-48c3-985e-c34c815307e3,cadillac-ct5-v-blackwing,"CT5-V Blackwing","Cadillac","CT5","V Blackwing"
85c1ab1d-97e1-4a8e-b87f-0476a285ad2a,cadillac-cts-v-gen1,"CTS-V Gen 1","Cadillac","CTS Gen 1","V"
2c5df0b5-f6d5-43c8-9ce1-c65df13e85e3,cadillac-cts-v-gen2,"CTS-V Gen 2","Cadillac","CTS Gen 2","V"
8a3758f5-9b50-43d3-9184-12358dd1fd36,cadillac-cts-v-gen3,"CTS-V Gen 3","Cadillac","CTS Gen 3","V"
6baea858-3427-4768-9b7c-dd985386e894,c7-corvette-grand-sport,"C7 Corvette Grand Sport","Chevrolet","C7 Corvette","Grand Sport"
3ea872be-6d80-4b27-b73a-fb8a10b1ee64,c7-corvette-z06,"C7 Corvette Z06","Chevrolet","C7 Corvette","Z06"
c5530d52-83bd-4fe4-b4d2-3ba05ed56b3e,c8-corvette-stingray,"C8 Corvette Stingray","Chevrolet","C8 Corvette","Stingray"
1a411f43-bb30-44e7-92f9-aa0e06e8e3fd,chevrolet-camaro-ss-1969,"Camaro SS (1969)","Chevrolet","Camaro 1969","SS"
2a3ec1bb-4281-43c5-a8ce-93b3b449ac5e,camaro-ss-1le,"Camaro SS 1LE","Chevrolet","Camaro","SS 1LE"
faa1c84a-f9c7-457f-afd8-76f3de9b1b47,chevrolet-camaro-ss-ls1,"Camaro SS LS1","Chevrolet","Camaro LS1","SS"
14390a2b-1deb-4360-98c0-5c1d1ea507c4,chevrolet-camaro-z28-second-generation,"Camaro Z28","Chevrolet","Camaro","Z28"
08a5ca5c-5e21-4907-8559-238bfb59e485,camaro-zl1,"Camaro ZL1","Chevrolet","Camaro","ZL1"
80709df5-b084-4f43-b31c-0ff53134d006,chevrolet-colorado-zr2-2017-2024,"Colorado ZR2","Chevrolet","Colorado","ZR2"
c27841ce-3386-4f7b-ae16-7cdb1ed0021c,chevrolet-corvette-c5-z06,"Corvette C5 Z06","Chevrolet","C5 Corvette","Z06"
e901103d-dc16-48d8-88dd-8975c9d0a8b4,chevrolet-corvette-c6-grand-sport,"Corvette C6 Grand Sport","Chevrolet","C6 Corvette","Grand Sport"
06b71575-d0b3-4385-8d80-159fa3de22d4,chevrolet-corvette-c6-z06,"Corvette C6 Z06","Chevrolet","C6 Corvette","Z06"
b15089e7-a520-4fd5-87ac-10f13585fc3e,chevrolet-corvette-z06-c8,"Corvette C8 Z06","Chevrolet","C8 Corvette","Z06"
cb02d948-06f7-4cb9-9e8a-921fd54b1965,chevrolet-silverado-1500-fourth-generation,"Silverado 1500","Chevrolet","Silverado 1500","Standard"
d07700cb-ad47-463a-9a58-dbcd34b96548,chevrolet-silverado-zr2-t1xx,"Silverado ZR2","Chevrolet","Silverado","ZR2"
724894f8-742e-4fe0-94c2-298f762edc65,chevrolet-ss-vf,"SS","Chevrolet","SS","Standard"
e67404f6-4071-4856-b011-c8e6dea8f6f5,chevrolet-tahoe-fifth-generation,"Tahoe","Chevrolet","Tahoe","Standard"
b22d2e20-eb94-4267-8876-b191c0c370f6,dodge-challenger-hellcat,"Challenger Hellcat","Dodge","Challenger","Hellcat"
c4b08aa9-4fd1-46da-8532-8b9e5a1d0934,dodge-challenger-srt-392,"Challenger SRT 392","Dodge","Challenger","SRT 392"
5b6372ae-312e-42ec-ab62-8f4eb6f72114,dodge-charger-hellcat,"Charger Hellcat","Dodge","Charger","Hellcat"
05fafe6f-aec7-4d12-9f4b-fd5e7acad7f3,dodge-charger-srt-392,"Charger SRT 392","Dodge","Charger","SRT 392"
aac77345-df74-4b6d-922b-c2a32da844ba,dodge-srt-4-2003-2005,"SRT-4","Dodge","SRT-4","Standard"
28fb9d30-3aca-4c62-bbf1-55b31b57eff3,dodge-viper,"Viper","Dodge","Viper","Standard"
ffb2eaf6-fd62-4df8-b39b-e37e700a7836,ferrari-296-gtb-2022-2024,"296 GTB","Ferrari","296","GTB"
54af1000-6489-46ff-9692-9e995a3e1bf6,ferrari-458-italia,"458 Italia","Ferrari","458","Italia"
c5227339-b630-4aa5-bef6-8215b59acd88,ferrari-458-speciale,"458 Speciale","Ferrari","458","Speciale"
82b64fb2-c891-4ccc-b8d5-cb2114ef1bfe,ferrari-488-gtb-2015-2019,"488 GTB","Ferrari","488","GTB"
c2ed2761-f970-40f0-b587-a2f8a62da381,ferrari-488-pista,"488 Pista","Ferrari","488","Pista"
